identical,SurfMatches,PCL Matches,ICP Similarityscore
1,60,6,9.12651e-06
1,61,9,8.628089999999999e-06
1,62,8,8.29286e-06
1,64,7,7.47807e-06
1,64,7,8.7348e-06
1,67,7,7.68363e-06
1,62,9,8.22491e-06
1,74,7,8.14293e-06
1,66,7,7.92533e-06
1,65,8,6.761289999999998e-06
0,8,3,5.15794e-05
0,9,4,4.03835e-05
0,9,1,5.5049e-05
0,12,3,2.81969e-05
0,11,2,5.12233e-05
0,9,5,4.55063e-05
0,10,1,6.18376e-05
0,10,2,5.79151e-05
0,8,3,5.0553e-05
0,9,3,2.61373e-05
0,12,1,0.000608356
0,12,2,0.000634443
0,11,3,0.000615186
0,8,4,0.000612208
0,11,2,0.000638791
0,9,1,0.00060942
0,13,1,0.000637758
0,13,4,0.0006134269999999999
0,10,2,0.0006275019999999999
0,14,2,0.000628603
0,10,7,1.06073e-05
0,9,9,9.47505e-06
0,9,7,1.05255e-05
0,9,8,1.10672e-05
0,9,6,1.11475e-05
0,10,7,1.03756e-05
0,9,7,1.03112e-05
0,12,8,1.13942e-05
0,9,7,1.06457e-05
0,8,6,9.53133e-06
0,11,15,3.8398800000000014e-06
0,9,14,3.7208e-06
0,12,14,3.78369e-06
0,13,14,3.75786e-06
0,10,16,3.76756e-06
0,11,15,3.67971e-06
0,12,16,3.7308e-06
0,11,12,3.8388099999999986e-06
0,12,13,3.84515e-06
0,11,15,3.9877999999999985e-06
0,10,1,4.49077e-05
0,13,2,5.000140000000001e-05
0,11,3,5.70059e-05
0,8,1,4.08019e-05
0,12,2,5.030140000000001e-05
0,11,1,5.18379e-05
0,13,1,6.08231e-05
0,11,1,5.46149e-05
0,12,3,5.07449e-05
0,15,3,6.22874e-05
0,12,2,1.27961e-05
0,9,4,1.61358e-05
0,10,3,1.47876e-05
0,10,2,1.62472e-05
0,9,2,1.3682e-05
0,10,3,1.40436e-05
0,9,2,1.62534e-05
0,8,2,1.39371e-05
0,12,2,1.34677e-05
0,11,3,1.73265e-05
0,20,1,0.000214626
0,17,0,0.000223148
0,17,1,0.000219961
0,21,0,0.000230826
0,19,0,0.000224921
0,14,1,0.000239684
0,10,0,0.000233202
0,15,0,0.000218217
0,20,0,0.000217409
0,18,1,0.000215522
1,18,1,0.000210667
1,19,0,0.000237818
1,12,1,0.000220537
0,8,1,0.000310652
1,17,0,0.000230224
1,20,2,0.000218983
1,19,2,0.000229364
1,17,1,0.000220931
1,24,1,0.000230211
1,9,1,9.09039e-05
0,11,1,8.547049999999999e-05
0,11,1,8.30944e-05
0,13,0,7.9998e-05
0,13,0,8.31759e-05
0,9,1,8.18775e-05
0,11,0,8.36132e-05
0,12,0,8.570549999999999e-05
0,10,1,8.24624e-05
0,13,3,8.49203e-05
0,13,1,8.43341e-05
0,12,1,8.21642e-05
0,14,1,8.343530000000001e-05
0,12,1,8.32754e-05
0,15,0,8.15207e-05
0,14,1,7.89969e-05
0,8,0,0.00118295
0,11,0,0.00118331
0,15,0,0.00120168
0,14,0,0.00124952
0,14,0,0.0012199
0,15,0,0.00125214
0,18,0,0.00122927
0,16,0,0.00123122
0,22,0,0.00122749
0,14,0,0.00119143
0,12,0,0.00119558
0,15,0,0.00122508
0,10,0,0.00117484
0,16,0,0.00124545
0,9,0,0.00114721
0,9,1,0.0011431
0,9,4,5.77003e-05
0,9,4,5.40003e-05
0,12,2,4.92576e-05
0,9,4,4.11331e-05
0,10,6,4.80248e-05
0,13,5,4.45109e-05
0,9,6,4.24254e-05
0,9,4,4.67088e-05
0,11,5,5.05733e-05
0,11,4,4.6658e-05
0,13,2,5.70355e-05
0,10,5,5.78226e-05
0,10,4,4.43784e-05
0,12,4,6.05065e-05
0,11,3,4.18531e-05
0,15,4,0.000170077
0,17,3,0.000194139
0,17,5,0.000191237
0,13,4,0.000180813
1,60,6,9.12651e-06
1,53,8,7.09227e-06
1,63,9,8.628089999999999e-06
1,62,8,8.29286e-06
1,64,7,7.47807e-06
1,62,7,8.7348e-06
1,59,7,8.05743e-06
1,69,7,7.68363e-06
1,61,6,7.818099999999999e-06
1,62,6,7.25946e-06
0,10,2,4.8354e-05
0,10,2,4.3365e-05
0,8,1,6.01663e-05
0,10,2,5.54858e-05
0,10,3,5.15794e-05
0,9,4,4.03835e-05
0,10,3,5.08792e-05
0,11,1,5.5049e-05
0,10,3,2.81969e-05
0,7,2,5.12233e-05
0,12,1,0.000612116
0,11,2,0.000603893
0,11,2,0.000618899
0,10,3,0.000592977
0,9,1,0.000626849
0,11,3,0.000612162
0,13,1,0.000608356
0,11,2,0.000634443
0,11,3,0.0006249340000000001
0,10,2,0.000624183
0,9,5,1.0891300000000004e-05
0,12,9,1.12473e-05
0,8,8,1.16884e-05
0,11,8,1.0038e-05
0,11,7,1.31927e-05
0,10,9,1.22744e-05
0,12,8,1.01678e-05
0,10,9,1.06849e-05
0,11,8,1.00155e-05
0,11,8,1.06808e-05
0,11,14,4.08172e-06
0,15,14,4.1019e-06
0,13,8,3.78189e-06
0,13,11,4.17465e-06
0,12,14,3.949280000000002e-06
0,15,13,3.99366e-06
0,12,14,4.56962e-06
0,15,11,4.0376300000000005e-06
0,12,16,3.93017e-06
0,10,14,3.9736e-06
0,11,2,4.92738e-05
0,11,1,6.64878e-05
0,11,2,4.82183e-05
0,12,2,5.0397e-05
0,12,1,6.03647e-05
0,11,2,4.68771e-05
0,13,2,5.07515e-05
0,10,3,3.37087e-05
0,13,2,4.89468e-05
0,11,1,4.32566e-05
0,10,2,1.29166e-05
0,10,3,1.30895e-05
0,10,2,1.48393e-05
0,11,2,1.77712e-05
0,10,4,1.54606e-05
0,10,3,1.32864e-05
0,10,2,1.3328e-05
0,10,2,1.40171e-05
0,12,2,1.30536e-05
0,10,2,1.39937e-05
0,20,1,0.000214626
0,23,0,0.000223022
0,20,1,0.000219961
0,18,0,0.000230826
