identical,SurfMatches,ICP Similarityscore,ColorHistDistance
1,60,9.12651e-06,0.754482
1,61,8.628089999999999e-06,0.759171
1,62,8.29286e-06,0.753848
1,64,7.47807e-06,0.752989
1,64,8.7348e-06,0.753571
1,67,7.68363e-06,0.754184
1,62,8.22491e-06,0.7576689999999999
1,74,8.14293e-06,0.754463
1,66,7.92533e-06,0.75313
1,65,6.761289999999998e-06,0.7505109999999999
0,8,5.15794e-05,0.8205459999999999
0,9,4.03835e-05,0.8219870000000001
0,9,5.5049e-05,0.818209
0,12,2.81969e-05,0.81698
0,11,5.12233e-05,0.8273510000000001
0,9,4.55063e-05,0.8241299999999999
0,10,6.18376e-05,0.840569
0,10,5.79151e-05,0.8239350000000001
0,8,5.0553e-05,0.8236049999999999
0,9,2.61373e-05,0.8279639999999999
0,12,0.000608356,0.8658959999999999
0,12,0.000634443,0.859635
0,11,0.000615186,0.8588319999999999
0,8,0.000612208,0.8610040000000001
0,11,0.000638791,0.8612360000000001
0,9,0.00060942,0.864115
0,13,0.000637758,0.863891
0,13,0.0006134269999999999,0.8571290000000001
0,10,0.0006275019999999999,0.859334
0,14,0.000628603,0.859605
0,10,1.06073e-05,0.856923
0,9,9.47505e-06,0.847726
0,9,1.05255e-05,0.845677
0,9,1.10672e-05,0.853016
0,9,1.11475e-05,0.8458709999999999
0,10,1.03756e-05,0.8518479999999999
0,9,1.03112e-05,0.8516969999999999
0,12,1.13942e-05,0.8428680000000001
0,9,1.06457e-05,0.846716
0,8,9.53133e-06,0.8504729999999999
0,11,3.8398800000000014e-06,0.844894
0,9,3.7208e-06,0.8503719999999999
0,12,3.78369e-06,0.8450620000000001
0,13,3.75786e-06,0.8491549999999999
0,10,3.76756e-06,0.847052
0,11,3.67971e-06,0.848419
0,12,3.7308e-06,0.8494510000000001
0,11,3.8388099999999986e-06,0.8473129999999999
0,12,3.84515e-06,0.853347
0,11,3.9877999999999985e-06,0.853773
0,10,4.49077e-05,0.85877
0,13,5.000140000000001e-05,0.85806
0,11,5.70059e-05,0.8529700000000001
0,8,4.08019e-05,0.85856
0,12,5.030140000000001e-05,0.8527049999999999
0,11,5.18379e-05,0.8581200000000001
0,13,6.08231e-05,0.951012
0,11,5.46149e-05,0.860398
0,12,5.07449e-05,0.858081
0,15,6.22874e-05,0.860722
0,12,1.27961e-05,0.856226
0,9,1.61358e-05,0.844357
0,10,1.47876e-05,0.8484940000000001
0,10,1.62472e-05,0.85875
0,9,1.3682e-05,0.853427
0,10,1.40436e-05,0.8397959999999999
0,9,1.62534e-05,0.856332
0,8,1.39371e-05,0.846053
0,12,1.34677e-05,0.8502799999999999
