Classification,Compared to,identical,SurfMatches,PCL Matches,ICP Similarityscore,ColorHistDistance,guess,neighborsWithDist
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,60,6,9.12651e-06,0.754482,1,KoellnMuesliKnusperHonigNuss 0.693559;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,61,9,8.62809e-06,0.759171,1,KoellnMuesliKnusperHonigNuss 0.666749;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,62,8,8.29286e-06,0.753848,1,KoellnMuesliKnusperHonigNuss 0.686743;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,64,7,7.47807e-06,0.752989,1,KoellnMuesliKnusperHonigNuss 0.689230;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,64,7,8.7348e-06,0.753571,1,KoellnMuesliKnusperHonigNuss 0.688077;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,67,7,7.68363e-06,0.754184,1,KoellnMuesliKnusperHonigNuss 0.680830;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,62,9,8.22491e-06,0.757669,1,KoellnMuesliKnusperHonigNuss 0.686948;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,74,7,8.14293e-06,0.754463,1,KoellnMuesliKnusperHonigNuss 0.694535;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,66,7,7.92533e-06,0.75313,1,KoellnMuesliKnusperHonigNuss 0.686805;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,65,8,6.76129e-06,0.750511,1,KoellnMuesliKnusperHonigNuss 0.692808;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,8,3,5.15794e-05,0.820546,0,KoellnMuesliKnusperHonigNuss 0.670902;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,9,4,4.03835e-05,0.821987,0,KoellnMuesliKnusperHonigNuss 0.705440;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,9,1,5.5049e-05,0.818209,0,KoellnMuesliKnusperHonigNuss 0.687506;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,12,3,2.81969e-05,0.81698,0,KoellnMuesliKnusperHonigNuss 0.690321;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,11,2,5.12233e-05,0.827351,0,KoellnMuesliKnusperHonigNuss 0.669025;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,9,5,4.55063e-05,0.82413,0,KoellnMuesliKnusperHonigNuss 0.697814;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,1,6.18376e-05,0.840569,0,KoellnMuesliKnusperHonigNuss 0.689357;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,2,5.79151e-05,0.823935,0,KoellnMuesliKnusperHonigNuss 0.696357;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,8,3,5.0553e-05,0.823605,0,KoellnMuesliKnusperHonigNuss 0.688598;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,9,3,2.61373e-05,0.827964,0,KoellnMuesliKnusperHonigNuss 0.686493;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,12,1,0.000608356,0.865896,0,KoellnMuesliKnusperHonigNuss 0.680943;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,12,2,0.000634443,0.859635,0,KoellnMuesliKnusperHonigNuss 0.685899;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,11,3,0.000615186,0.858832,0,KoellnMuesliKnusperHonigNuss 0.685150;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,8,4,0.000612208,0.861004,0,KoellnMuesliKnusperHonigNuss 0.676618;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,11,2,0.000638791,0.861236,0,KoellnMuesliKnusperHonigNuss 0.690401;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,9,1,0.00060942,0.864115,0,KoellnMuesliKnusperHonigNuss 0.698580;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,13,1,0.000637758,0.863891,0,KoellnMuesliKnusperHonigNuss 0.686158;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,13,4,0.000613427,0.857129,0,KoellnMuesliKnusperHonigNuss 0.694978;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,10,2,0.000627502,0.859334,0,KoellnMuesliKnusperHonigNuss 0.691261;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,14,2,0.000628603,0.859605,0,KoellnMuesliKnusperHonigNuss 0.698574;
KoellnMuesliKnusperHonigNuss,VollMilch,0,10,7,1.06073e-05,0.856923,0,KoellnMuesliKnusperHonigNuss 0.691193;
KoellnMuesliKnusperHonigNuss,VollMilch,0,9,9,9.47505e-06,0.847726,0,KoellnMuesliKnusperHonigNuss 0.684557;
KoellnMuesliKnusperHonigNuss,VollMilch,0,9,7,1.05255e-05,0.845677,0,KoellnMuesliKnusperHonigNuss 0.674526;
KoellnMuesliKnusperHonigNuss,VollMilch,0,9,8,1.10672e-05,0.853016,0,KoellnMuesliKnusperHonigNuss 0.677830;
KoellnMuesliKnusperHonigNuss,VollMilch,0,9,6,1.11475e-05,0.845871,0,KoellnMuesliKnusperHonigNuss 0.687968;
KoellnMuesliKnusperHonigNuss,VollMilch,0,10,7,1.03756e-05,0.851848,0,KoellnMuesliKnusperHonigNuss 0.684358;
KoellnMuesliKnusperHonigNuss,VollMilch,0,9,7,1.03112e-05,0.851697,0,KoellnMuesliKnusperHonigNuss 0.688492;
KoellnMuesliKnusperHonigNuss,VollMilch,0,12,8,1.13942e-05,0.842868,0,KoellnMuesliKnusperHonigNuss 0.678577;
KoellnMuesliKnusperHonigNuss,VollMilch,0,9,7,1.06457e-05,0.846716,0,KoellnMuesliKnusperHonigNuss 0.679681;
KoellnMuesliKnusperHonigNuss,VollMilch,0,8,6,9.53133e-06,0.850473,0,KoellnMuesliKnusperHonigNuss 0.707930;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,11,15,3.83988e-06,0.844894,0,KoellnMuesliKnusperHonigNuss 0.668017;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,9,14,3.7208e-06,0.850372,0,KoellnMuesliKnusperHonigNuss 0.697206;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,12,14,3.78369e-06,0.845062,0,KoellnMuesliKnusperHonigNuss 0.680523;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,13,14,3.75786e-06,0.849155,0,KoellnMuesliKnusperHonigNuss 0.716425;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,10,16,3.76756e-06,0.847052,0,KoellnMuesliKnusperHonigNuss 0.695635;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,11,15,3.67971e-06,0.848419,0,KoellnMuesliKnusperHonigNuss 0.721157;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,12,16,3.7308e-06,0.849451,0,KoellnMuesliKnusperHonigNuss 0.669467;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,11,12,3.83881e-06,0.847313,0,KoellnMuesliKnusperHonigNuss 0.702913;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,12,13,3.84515e-06,0.853347,0,KoellnMuesliKnusperHonigNuss 0.695151;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,11,15,3.9878e-06,0.853773,0,KoellnMuesliKnusperHonigNuss 0.692674;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,10,1,4.49077e-05,0.85877,0,KoellnMuesliKnusperHonigNuss 0.694882;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,13,2,5.00014e-05,0.85806,0,KoellnMuesliKnusperHonigNuss 0.684751;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,11,3,5.70059e-05,0.85297,0,KoellnMuesliKnusperHonigNuss 0.672056;
