identical,SurfMatches,PCLMatches,ICPSimilarityscore,ColorHistDistance,confidence,mockedPipeline
1,20,9,9.180809999999999e-05,0.672813,-1,0
1,19,9,9.76282e-05,0.6846140000000001,-1,0
0,23,12,0.00023374799999999999,0.803355,-1,0
1,24,8,0.000100995,0.796188,-1,1
0,15,4,8.29333e-05,0.8715209999999999,-1,1
0,32,7,0.00018184,0.861051,-1,1
0,12,10,2.98779e-05,0.875762,-1,1
0,12,9,0.000233037,0.623865,-1,0
0,19,6,8.46077e-05,0.740429,-1,1
1,21,9,9.43345e-05,0.65136,-1,1
0,18,12,0.000219155,0.675045,-1,1
0,13,11,2.6222600000000002e-05,0.746641,-1,1
0,16,11,0.000210454,0.78468,-1,0
0,13,10,2.97398e-05,0.8663790000000001,-1,1
0,11,9,0.000243414,0.8219799999999999,-1,1
1,21,10,8.808370000000001e-05,0.778559,-1,1
0,15,5,7.95921e-05,0.858577,-1,1
0,18,9,0.000219757,0.789524,-1,0
0,10,8,0.000247818,0.826787,-1,1
1,15,8,9.40008e-05,0.787921,-1,1
0,13,4,8.2683e-05,0.8532379999999999,-1,1
0,13,14,3.01913e-05,0.8616389999999999,-1,1
0,24,11,0.000221185,0.541406,-1,0
1,20,2,9.447200000000001e-05,0.668625,-1,0
1,16,6,9.53238e-05,0.679168,-1,0
0,19,7,0.000228481,0.7939470000000001,-1,0
1,19,9,9.59999e-05,0.7879659999999999,-1,1
0,19,4,8.17398e-05,0.866859,-1,1
0,34,13,0.000218738,0.8318559999999999,-1,1
0,12,12,2.6995700000000003e-05,0.870267,-1,1
0,10,6,0.00019051700000000002,0.8302799999999999,-1,0
0,36,11,0.000211337,0.865297,-1,1
0,18,10,0.000224043,0.8376530000000001,-1,1
0,15,8,2.62937e-05,0.878258,-1,1
1,21,7,9.657629999999999e-05,0.8601209999999999,-1,1
0,21,7,0.000221063,0.795953,-1,0
0,30,11,0.00022647099999999998,0.8266690000000001,-1,1
1,16,8,9.21194e-05,0.79438,-1,1
0,10,6,0.00019116400000000001,0.794982,-1,1
0,11,9,2.65693e-05,0.8606860000000001,-1,1
0,9,4,5.59201e-05,0.640185,-1,0
0,9,3,0.000196004,0.8470790000000001,-1,0
0,33,11,0.00022751599999999998,0.876569,-1,1
0,14,9,5.45954e-05,0.885625,-1,1
0,26,8,0.000218494,0.8557600000000001,-1,1
1,21,7,9.014770000000001e-05,0.872524,-1,1
0,14,9,0.00021967799999999998,0.80543,-1,0
0,11,2,5.349100000000001e-05,0.827047,-1,1
1,22,5,9.018479999999999e-05,0.799776,-1,1
0,35,9,0.000228377,0.833456,-1,1
0,13,4,0.00019371900000000002,0.797162,-1,1
1,18,8,9.29097e-05,0.692051,-1,0
0,9,9,8.93936e-05,0.8564120000000001,-1,0
0,11,8,4.432810000000001e-05,0.996704,-1,1
1,23,16,3.2283800000000004e-05,0.985701,-1,1
0,10,4,0.000185981,0.99565,-1,1
0,13,7,0.000142638,0.9955629999999999,-1,1
0,13,6,6.56489e-05,0.812345,-1,0
1,45,8,3.36578e-05,0.957974,-1,1
0,23,7,8.94413e-05,0.834558,-1,1
0,10,5,0.00019156299999999998,0.9838709999999999,-1,1
0,16,7,4.31224e-05,0.9860459999999999,-1,1
0,11,7,9.70343e-05,0.8461200000000001,-1,0
1,51,13,3.50989e-05,0.970799,-1,1
0,14,7,4.25345e-05,0.9932479999999999,-1,1
0,21,5,0.000189077,0.9889389999999999,-1,1
0,25,4,9.74294e-05,0.832614,-1,1
1,42,7,1.86455e-05,0.678091,-1,0
1,12,8,1.6789200000000002e-05,0.7478899999999999,-1,0
0,10,7,6.52785e-05,0.808307,-1,0
0,15,6,0.000187517,0.9902549999999999,-1,1
1,17,6,1.69285e-05,0.8660129999999999,-1,1
0,12,5,4.22888e-05,0.9927870000000001,-1,1
0,15,4,9.106370000000001e-05,0.834311,-1,1
0,11,7,5.45972e-05,0.812884,-1,0
1,17,8,1.86594e-05,0.8621780000000001,-1,1
0,15,5,9.92027e-05,0.8341649999999999,-1,1
0,15,5,0.00019393,0.981347,-1,1
0,11,6,4.4221700000000004e-05,0.983245,-1,1
0,14,5,0.00010426700000000001,0.783384,-1,0
0,9,10,6.14012e-05,0.825998,-1,0
0,16,6,9.433569999999999e-05,0.84941,-1,1
1,16,8,1.81469e-05,0.87864,-1,1
0,9,8,4.432810000000001e-05,0.9966959999999999,-1,1
0,18,6,0.00013646,0.84891,-1,1
0,17,3,0.000112959,0.780219,-1,0
0,13,7,4.31224e-05,0.9810209999999999,-1,1
0,20,5,9.54167e-05,0.779419,-1,1
1,22,8,1.8980199999999998e-05,0.825421,-1,1
0,23,5,9.281639999999999e-05,0.767949,-1,1
0,8,5,1.27584e-05,0.8239290000000001,-1,0
1,25,7,1.94866e-05,0.8684700000000001,-1,1
0,30,6,9.29761e-05,0.83649,-1,1
0,39,3,0.000145711,0.839865,-1,1
0,25,7,9.70343e-05,0.840908,-1,1
0,7,4,0.000137684,0.911948,-1,0
0,24,6,0.000101709,0.9222040000000001,-1,1
0,23,5,6.383409999999999e-05,0.9273440000000001,-1,1
1,19,9,1.99531e-05,0.932242,-1,1
0,14,6,1.29945e-05,0.9427180000000001,-1,1
0,10,4,9.096600000000001e-05,0.83657,-1,0
0,12,6,5.0618199999999996e-05,0.6414350000000001,-1,0
0,12,4,3.59923e-05,0.738718,-1,1
0,15,2,9.91097e-05,0.7259800000000001,-1,1
1,16,12,2.00207e-05,0.738859,-1,1
0,8,3,3.28675e-05,0.724416,-1,1
1,23,5,2.1264899999999997e-05,0.724707,-1,0
0,12,8,4.1706800000000005e-05,0.572987,-1,0
0,9,2,3.2579e-05,0.623926,-1,1
0,18,2,9.54986e-05,0.650896,-1,1
1,20,6,2.39742e-05,0.579633,-1,1
0,20,3,5.05221e-05,0.567368,-1,1
0,13,1,9.680040000000001e-05,0.722068,-1,0
0,35,7,3.80444e-05,0.756075,-1,1
0,8,2,3.30536e-05,0.740275,-1,1
1,25,4,2.09436e-05,0.761596,-1,1
0,20,2,4.85201e-05,0.769839,-1,1
1,34,13,3.05533e-05,0.582253,-1,0
1,33,11,3.01837e-05,0.577133,-1,0
0,12,4,4.9403999999999997e-05,0.6379729999999999,-1,0
