identical,SurfMatches,PCL Matches,ICP Similarityscore,ColorHistDistance
1,60,6,9.12651e-06,0.754482
1,61,9,8.628089999999999e-06,0.759171
1,62,8,8.29286e-06,0.753848
1,64,7,7.47807e-06,0.752989
1,64,7,8.7348e-06,0.753571
1,67,7,7.68363e-06,0.754184
1,62,9,8.22491e-06,0.7576689999999999
1,74,7,8.14293e-06,0.754463
1,66,7,7.92533e-06,0.75313
1,65,8,6.761289999999999e-06,0.7505109999999999
0,8,3,5.1579399999999996e-05,0.8205459999999999
0,9,4,4.03835e-05,0.8219870000000001
0,9,1,5.5048999999999994e-05,0.818209
0,12,3,2.81969e-05,0.81698
0,11,2,5.12233e-05,0.8273510000000001
0,9,5,4.55063e-05,0.8241299999999999
0,10,1,6.18376e-05,0.840569
0,10,2,5.7915100000000004e-05,0.8239350000000001
0,8,3,5.0553e-05,0.8236049999999999
0,9,3,2.61373e-05,0.8279639999999999
0,10,1,4.4907700000000004e-05,0.85877
0,13,2,5.0001400000000005e-05,0.85806
0,11,3,5.70059e-05,0.8529700000000001
0,8,1,4.08019e-05,0.85856
0,12,2,5.0301400000000006e-05,0.8527049999999999
0,11,1,5.18379e-05,0.8581200000000001
0,13,1,6.0823100000000004e-05,0.9510120000000001
0,11,1,5.46149e-05,0.860398
0,12,3,5.0744899999999996e-05,0.858081
0,15,3,6.22874e-05,0.860722
0,12,2,1.27961e-05,0.856226
0,9,4,1.61358e-05,0.844357
0,10,3,1.47876e-05,0.8484940000000001
0,10,2,1.62472e-05,0.85875
0,9,2,1.3682e-05,0.853427
0,10,3,1.4043599999999999e-05,0.8397959999999999
0,9,2,1.62534e-05,0.856332
0,8,2,1.39371e-05,0.846053
0,12,2,1.34677e-05,0.8502799999999999
0,11,3,1.73265e-05,0.855775
0,20,1,0.000214626,0.626522
0,17,0,0.000223148,0.6051770000000001
0,17,1,0.000219961,0.595489
0,21,0,0.00023082599999999997,0.613183
0,19,0,0.000224921,0.616302
0,14,1,0.00023968400000000002,0.628419
0,10,0,0.000233202,0.6822520000000001
0,15,0,0.00021821700000000001,0.611046
0,20,0,0.000217409,0.6152529999999999
0,18,1,0.000215522,0.606735
1,18,1,0.000210667,0.615243
1,19,0,0.000237818,0.6196510000000001
1,12,1,0.000220537,0.674719
0,8,1,0.000310652,0.76459
1,17,0,0.000230224,0.6218239999999999
1,20,2,0.000218983,0.618358
1,19,2,0.00022936400000000002,0.617265
1,17,1,0.00022093099999999998,0.616751
1,24,1,0.000230211,0.612462
1,9,1,9.090389999999999e-05,0.70681
0,9,1,0.0011431,0.752677
0,9,4,5.77003e-05,0.801541
0,9,4,5.40003e-05,0.794416
0,12,2,4.92576e-05,0.785313
0,9,4,4.11331e-05,0.773961
0,10,6,4.8024799999999995e-05,0.8042060000000001
0,13,5,4.45109e-05,0.783257
0,9,6,4.24254e-05,0.7855800000000001
0,9,4,4.67088e-05,0.795712
0,11,5,5.05733e-05,0.7876270000000001
0,11,4,4.6658e-05,0.7880739999999999
0,13,2,5.70355e-05,0.78999
0,10,5,5.7822600000000004e-05,0.7907270000000001
0,10,4,4.43784e-05,0.781568
0,12,4,6.0506499999999994e-05,0.797603
0,11,3,4.18531e-05,0.789269
0,15,4,0.000170077,0.803297
0,17,3,0.00019413900000000002,0.783772
0,17,5,0.000191237,0.7949930000000001
0,13,4,0.000180813,0.805854
1,60,6,9.12651e-06,0.754488
1,53,8,7.0922699999999994e-06,0.758555
1,63,9,8.628089999999999e-06,0.75845
1,62,8,8.29286e-06,0.753834
1,64,7,7.47807e-06,0.753019
1,62,7,8.7348e-06,0.753768
1,59,7,8.05743e-06,0.756871
1,69,7,7.68363e-06,0.7536510000000001
1,61,6,7.818099999999999e-06,0.7561479999999999
1,62,6,7.25946e-06,0.752249
0,10,2,4.8354e-05,0.8280299999999999
0,10,2,4.3365e-05,0.820311
0,8,1,6.01663e-05,0.8224020000000001
0,10,2,5.5485799999999997e-05,0.826799
0,10,3,5.1579399999999996e-05,0.8205030000000001
0,9,4,4.03835e-05,0.8219870000000001
0,10,3,5.08792e-05,0.826752
0,11,1,5.5048999999999994e-05,0.81913
0,10,3,2.81969e-05,0.819148
0,7,2,5.12233e-05,0.827767
0,11,2,4.92738e-05,0.8605290000000001
0,11,1,6.64878e-05,0.9492450000000001
0,11,2,4.82183e-05,0.867547
0,12,2,5.0397e-05,0.862358
0,12,1,6.03647e-05,0.868582
0,11,2,4.68771e-05,0.860491
0,13,2,5.07515e-05,0.857166
0,10,3,3.37087e-05,0.852843
0,13,2,4.8946800000000004e-05,0.8568540000000001
0,11,1,4.32566e-05,0.85265
0,10,2,1.2916600000000001e-05,0.851718
0,10,3,1.30895e-05,0.857108
0,10,2,1.48393e-05,0.8584069999999999
0,11,2,1.77712e-05,0.8580969999999999
0,10,4,1.54606e-05,0.8498959999999999
0,10,3,1.32864e-05,0.85536
0,10,2,1.3328e-05,0.8531129999999999
0,10,2,1.40171e-05,0.8516809999999999
0,12,2,1.30536e-05,0.852621
0,10,2,1.39937e-05,0.846823
0,20,1,0.000214626,0.6255390000000001
0,23,0,0.00022302200000000002,0.6058520000000001
0,20,1,0.000219961,0.594138
0,18,0,0.00023082599999999997,0.612682
0,18,0,0.000224921,0.6165010000000001
0,14,1,0.00023968400000000002,0.629548
0,10,0,0.000233202,0.682013
0,17,0,0.00021821700000000001,0.610594
0,26,0,0.000217409,0.614495
0,17,0,0.000215522,0.607167
1,19,1,0.000210667,0.6149220000000001
1,21,0,0.000237818,0.620131
1,9,1,0.000220537,0.67373
0,8,1,0.000310652,0.76684
1,18,0,0.000230224,0.622909
1,21,2,0.000218983,0.6181810000000001
1,18,2,0.00022936400000000002,0.617387
1,15,0,0.00022093099999999998,0.616333
1,15,0,0.00022463799999999999,0.611857
1,10,0,8.057600000000001e-05,0.713796
0,17,0,0.00117174,0.7228
0,12,0,0.00119489,0.7083
0,18,0,0.00120458,0.7239770000000001
0,11,5,5.05733e-05,0.790313
0,10,4,4.6658e-05,0.788719
0,11,2,5.70355e-05,0.7896350000000001
0,12,3,4.83055e-05,0.78775
0,8,4,4.43784e-05,0.784587
0,12,3,6.0506499999999994e-05,0.797041
0,11,3,4.18531e-05,0.790361
0,10,4,4.749229999999999e-05,0.7782439999999999
0,10,7,4.52632e-05,0.797415
0,15,3,5.5249e-05,0.793191
0,10,4,4.56165e-05,0.793513
0,10,6,4.3613000000000004e-05,0.801358
0,10,4,5.24529e-05,0.791987
0,11,4,4.7810600000000006e-05,0.782998
0,8,5,4.84455e-05,0.793033
0,10,5,4.83165e-05,0.775089
0,17,5,0.000190846,0.7915409999999999
1,14,4,7.97488e-05,0.702133
1,10,1,9.02281e-05,0.695589
1,13,2,8.073100000000001e-05,0.711274
1,13,0,7.808270000000001e-05,0.709593
1,9,1,8.25309e-05,0.713908
1,15,0,8.21804e-05,0.7326590000000001
1,9,1,8.38434e-05,0.706775
1,13,1,8.28913e-05,0.710186
1,9,2,8.50907e-05,0.722754
1,12,1,8.17892e-05,0.704666
1,11,1,8.338360000000001e-05,0.7018840000000001
1,10,0,8.762889999999999e-05,0.813574
1,10,0,8.11745e-05,0.718571
1,11,1,8.07467e-05,0.729082
1,10,1,8.6849e-05,0.704702
1,15,2,8.413629999999999e-05,0.7171770000000001
1,12,0,8.057600000000001e-05,0.714729
1,11,2,8.269450000000001e-05,0.722036
0,10,1,8.547049999999999e-05,0.701028
1,65,5,9.25482e-06,0.7571680000000001
1,67,9,8.34241e-06,0.761441
1,60,9,9.48956e-06,0.758468
1,47,8,9.04468e-06,0.755524
1,8,5,9.17203e-06,0.802539
1,72,9,8.12067e-06,0.753135
1,65,4,8.87722e-06,0.756905
1,61,6,8.09609e-06,0.754736
1,61,7,9.243719999999999e-06,0.755087
1,64,7,8.30207e-06,0.753931
1,65,8,8.06948e-06,0.7581720000000001
1,65,9,1.04298e-05,0.0
1,59,7,8.56073e-06,0.756196
1,62,4,7.586849999999999e-06,0.754728
1,58,6,8.10559e-06,0.7529710000000001
1,59,6,8.212369999999999e-06,0.754242
1,63,8,7.89836e-06,0.762606
1,64,6,7.80991e-06,0.754302
1,63,5,8.907569999999999e-06,0.750455
1,10,3,1.61349e-05,0.796571
1,13,3,2.1280300000000004e-05,0.796442
1,15,3,2.05176e-05,0.799231
1,14,2,2.06552e-05,0.799784
1,10,2,2.21558e-05,0.7984060000000001
1,15,3,1.8618900000000002e-05,0.798791
1,8,6,2.6756e-05,0.790495
1,7,3,2.69231e-05,0.8036800000000001
1,8,5,3.0382800000000003e-05,0.79489
1,9,4,2.8168899999999997e-05,0.802872
1,8,4,2.6377e-05,0.79706
1,10,4,2.69415e-05,0.795792
1,8,3,2.66821e-05,0.7957930000000001
1,8,6,2.6004299999999998e-05,0.7960689999999999
1,9,3,2.6923899999999998e-05,0.807552
1,10,8,3.11051e-05,0.794818
1,57,17,2.72526e-05,0.546009
1,9,3,2.61394e-05,0.795619
1,9,8,2.8455900000000003e-05,0.7983140000000001
1,8,7,2.74822e-05,0.790799
1,8,3,2.5029099999999997e-05,0.799243
1,59,16,2.4825700000000002e-05,0.550922
1,8,5,2.63152e-05,0.801307
1,8,6,2.99763e-05,0.7988149999999999
1,8,7,2.8865999999999998e-05,0.801199
1,7,7,2.8279200000000002e-05,0.795021
1,7,4,2.70021e-05,0.796305
1,8,6,2.7718400000000002e-05,0.796046
1,8,3,2.75708e-05,0.799691
